,,,0.001030961,-0.001678783,0.000647842,1&2,1&3,2&3,,,,
-0.07842,0.062306,0.016114,-0.079450961,0.063984783,0.015466158,-0.005083652,-0.001228801,0.000989599,,,,
-0.02477,-0.076538,0.10131,-0.025800961,-0.074859217,0.100662158,0.00193144,-0.00259718,-0.00753549,,,,
0.12488,-0.054732,-0.070153,0.123849039,-0.053053217,-0.070800842,-0.00657059,-0.008768616,0.003756212,,,,
0.032941,0.020371,-0.053312,0.031910039,0.022049783,-0.053959842,0.000703609,-0.001721861,-0.001189803,,,,
-0.015319,0.047232,-0.031913,-0.016349961,0.048910783,-0.032560842,-0.000799689,0.000532368,-0.001592576,,,,
0.015879,-0.12759,0.11172,0.014848039,-0.125911217,0.111072158,-0.001869535,0.001649204,-0.013985231,,,,
0.24185,-0.021318,-0.22053,0.240819039,-0.019639217,-0.221177842,-0.004729497,-0.053263835,0.00434376,,,,
0.02151,0.019658,-0.041168,0.020479039,0.021336783,-0.041815842,0.000436957,-0.000856348,-0.000892216,,,,
0.044757,-0.054754,0.0099973,0.043726039,-0.053075217,0.009349458,-0.002320769,0.000408815,-0.000496225,,,,
-0.0518,0.41574,-0.36394,-0.052830961,0.417418783,-0.364587842,-0.022052635,0.019261526,-0.152185813,,,,
-0.14889,-0.21617,0.36506,-0.149920961,-0.214491217,0.364412158,0.032156729,-0.054633021,-0.078163207,,,,
0.043488,-0.047489,0.0040012,0.042457039,-0.045810217,0.003353358,-0.001944966,0.000142374,-0.000153618,,,,
-0.041496,0.014569,0.026927,-0.042526961,0.016247783,0.026279158,-0.000690969,-0.001117573,0.000426978,,,,
0.049084,-0.035788,-0.013296,0.048053039,-0.034109217,-0.013943842,-0.001639052,-0.000670044,0.000475614,,,,
-0.018098,0.026682,-0.0085835,-0.019128961,0.028360783,-0.009231342,-0.000542512,0.000176586,-0.000261808,,,,
-0.2067,0.17983,0.026867,-0.207730961,0.181508783,0.026219158,-0.037704994,-0.005446531,0.004759007,,,,
0.065855,-0.36039,0.29453,0.064824039,-0.358711217,0.293882158,-0.02325311,0.019050629,-0.105418826,,,,
0.0055383,-0.09787,0.092332,0.004507339,-0.096191217,0.091684158,-0.000433566,0.000413252,-0.008819211,,,,
-0.014336,0.028802,-0.014466,-0.015366961,0.030480783,-0.015113842,-0.000468397,0.000232254,-0.000460682,,,,
0.040246,-0.054063,0.013817,0.039215039,-0.052384217,0.013169158,-0.002054249,0.000516429,-0.000689856,,,,
-0.053902,0.035416,0.018486,-0.054932961,0.037094783,0.017838158,-0.002037726,-0.000979903,0.000661703,,,,
-0.04734,0.041917,0.005423,-0.048370961,0.043595783,0.004775158,-0.00210877,-0.000230979,0.000208177,,,,
0.053594,-0.22728,0.17369,0.052563039,-0.225601217,0.173042158,-0.011858286,0.009095622,-0.039038521,,,,
-0.0010204,-0.13874,0.13976,-0.002051361,-0.137061217,0.139112158,0.000281162,-0.000285369,-0.019066882,,,,
0.088459,-0.11235,0.023895,0.087428039,-0.110671217,0.023247158,-0.009675768,0.002032453,-0.002572791,,,,
0.0039995,-0.010485,0.0064857,0.002968539,-0.008806217,0.005837858,-2.61E-05,1.73E-05,-5.14E-05,,,,
-0.035569,-0.031395,0.066964,-0.036599961,-0.029716217,0.066316158,0.001087612,-0.002427169,-0.001970665,,,,
-0.11357,-0.0021719,0.11574,-0.114600961,-0.000493117,0.115092158,5.65E-05,-0.013189672,-5.68E-05,,,,
0.060644,-0.033278,-0.027365,0.059613039,-0.031599217,-0.028012842,-0.001883725,-0.001669931,0.000885184,,,,
0.0072854,0.018431,-0.025717,0.006254439,0.020109783,-0.026364842,0.000125775,-0.000164897,-0.000530191,,,,
0.04377,-0.094112,0.050342,0.042739039,-0.092433217,0.049694158,-0.003950507,0.002123881,-0.004593391,,,,
-0.040767,0.16385,-0.12309,-0.041797961,0.165528783,-0.123737842,-0.006918766,0.005171989,-0.020482174,,,,
-0.090766,0.098618,-0.0078524,-0.091796961,0.100296783,-0.008500242,-0.00920694,0.000780296,-0.000852547,,,,
-0.011497,-0.083562,0.095059,-0.012527961,-0.081883217,0.094411158,0.00102583,-0.001182779,-0.007730689,,,,
0.022043,-0.084627,0.062584,0.021012039,-0.082948217,0.061936158,-0.001742911,0.001301405,-0.005137494,,,,
0.15132,-0.27094,0.11962,0.150289039,-0.269261217,0.118972158,-0.04046701,0.017880211,-0.032034588,,,,
-0.0036953,0.042639,-0.038944,-0.004726261,0.044317783,-0.039591842,-0.000209457,0.000187121,-0.001754623,,,,
0.11177,-0.12236,0.010587,0.110739039,-0.120681217,0.009939158,-0.013364122,0.001100653,-0.00119947,,,,
0.018929,-0.12555,0.10662,0.017898039,-0.123871217,0.105972158,-0.002217052,0.001896694,-0.0131269,,,,
-0.033781,-0.0078446,0.041626,-0.034811961,-0.006165817,0.040978158,0.000214644,-0.00142653,-0.000252664,,,,
